,epoch,train_loss,val_loss
0,1,0.09573184787941892,0.0
1,2,0.09179675967641995,0.0
2,3,0.08422250188352388,0.0
3,4,0.09266470647171925,0.0
4,5,0.08964628865273945,0.20627781087663813
5,6,0.08895521311526093,0.0
6,7,0.08350446517245051,0.0
7,8,0.08065021282249091,0.0
8,9,0.07925421847966299,0.0
9,10,0.07876621915749385,0.20692272851584662
10,11,0.09277961715057706,0.0
11,12,0.07241861859078043,0.0
12,13,0.07806231660777302,0.0
13,14,0.07844191955393581,0.0
14,15,0.07470129551499655,0.20289239381820384
15,16,0.07432570727319238,0.0
16,17,0.07546723206220061,0.0
17,18,0.06596434128840574,0.0
18,19,0.07175818755866238,0.0
19,20,0.06407848756279101,0.20360154196829863
20,21,0.07016393572591138,0.0
21,22,0.06758174861660984,0.0
22,23,0.06380979059059083,0.0
23,24,0.072067668652563,0.0
24,25,0.07088583661466125,0.2084999034102534
25,26,0.06962537606866166,0.0
26,27,0.06472778395174793,0.0
27,28,0.06627814273871303,0.0
28,29,0.0645454850707328,0.0
29,30,0.0750314041651322,0.2090242435814629
30,31,0.05985942898255786,0.0
31,32,0.06108607588843866,0.0
32,33,0.06238904270971791,0.0
33,34,0.05828535841982901,0.0
34,35,0.0642734758698484,0.20675083764002355
35,36,0.059302557901474845,0.0
36,37,0.06030573337628511,0.0
37,38,0.05652406153995455,0.0
38,39,0.06238897822119973,0.0
39,40,0.058688313695802644,0.2045026773088415
40,41,0.06215730075987332,0.0
41,42,0.0559321142929165,0.0
42,43,0.055800959806550636,0.0
43,44,0.05641575831403002,0.0
44,45,0.05960738619691447,0.20365214883021907
45,46,0.059212027598867574,0.0
46,47,0.05693339366626226,0.0
47,48,0.05972174169165951,0.0
48,49,0.05360273645219335,0.0
49,50,0.056711865794002725,0.2088274180259503
50,51,0.05543157406614728,0.0
51,52,0.05599285116748947,0.0
52,53,0.061639237756791865,0.0
53,54,0.05614327550219577,0.0
54,55,0.054480552397062336,0.2056528157751325
55,56,0.06395396258699837,0.0
56,57,0.05434465025101552,0.0
57,58,0.0544457412436248,0.0
58,59,0.05352107305347064,0.0
59,60,0.05785459861979245,0.20555053368000917
